epoch, loss, accuracy
1,1.1925,0.7563
2,0.9831,0.9062
3,0.88,0.9062
4,0.7945,0.9062
5,0.7291,0.9062
6,0.6659,0.9125
7,0.602,0.9312
8,0.5295,0.9375
9,0.4579,0.9125
10,0.3941,0.9062
11,0.3308,0.9062
12,0.2754,0.9187
13,0.2292,0.9375
14,0.2007,0.9375
15,0.1913,0.9375
16,0.1879,0.9125
17,0.1823,0.9062
18,0.1768,0.9062
19,0.1728,0.9062
20,0.1688,0.9062
21,0.165,0.9062
22,0.1619,0.925
23,0.1591,0.9375
24,0.1562,0.9375
25,0.1534,0.9375
26,0.1501,0.9375
27,0.1471,0.9375
28,0.1513,0.9375
29,0.1401,0.9375
30,0.1324,0.9375
31,0.1293,0.9375
32,0.1271,0.9375
33,0.1252,0.9375
34,0.1233,0.9375
35,0.1215,0.9375
36,0.1197,0.9375
37,0.1179,0.9375
38,0.1162,0.9375
39,0.1145,0.9375
40,0.1128,0.9375
41,0.1112,0.9375
42,0.1096,0.9375
43,0.1081,0.9375
44,0.1066,0.9375
45,0.1051,0.9375
46,0.1036,0.9375
47,0.1021,0.9375
48,0.1007,0.9375
49,0.0993,1.0
50,0.098,1.0
51,0.3774,0.8125
