epoch, loss, accuracy
1, 4.4746, 0.4375
2, 4.7401, 0.4375
3, 4.1097, 0.4375
4, 3.5098, 0.4375
5, 2.8971, 0.4375
6, 2.2822, 0.4375
7, 1.6973, 0.4375
8, 1.2111, 0.4375
9, 0.9347, 0.4375
10, 0.8924, 0.5
11, 0.8866, 0.5
12, 0.8357, 0.5
13, 0.8165, 0.5
14, 0.7805, 0.5
15, 0.7682, 0.8313
16, 0.7648, 0.9062
17, 0.752, 0.9375
18, 0.7475, 0.9375
19, 0.7423, 0.9375
20, 0.7372, 0.9375
21, 0.7329, 0.9375
22, 0.7287, 0.9375
23, 0.7244, 0.9375
24, 0.7201, 0.9375
25, 0.7159, 0.9375
26, 0.7118, 0.9375
27, 0.7077, 0.9375
28, 0.7037, 0.9375
29, 0.6997, 0.9375
30, 0.6958, 0.9375
31, 0.6919, 0.9375
32, 0.688, 0.9375
33, 0.6842, 0.9375
34, 0.6804, 0.9375
35, 0.6767, 0.9375
36, 0.673, 0.9375
37, 0.6693, 0.9375
38, 0.6657, 0.9375
39, 0.6621, 0.9375
40, 0.6586, 0.9375
41, 0.6551, 0.9375
42, 0.6516, 0.9375
43, 0.6481, 0.9375
44, 0.6447, 0.9375
45, 0.6414, 0.9375
46, 0.638, 0.9375
47, 0.6347, 0.9375
48, 0.6314, 0.9375
49, 0.6282, 0.9375
50, 0.6249, 0.9375
51, 0.8248, 0.7812
