epoch, loss, accuracy
1, 5.4964, 0.4
2, 5.8591, 0.375
3, 5.0239, 0.375
4, 4.2234, 0.375
5, 3.4218, 0.375
6, 2.6281, 0.375
7, 1.8728, 0.375
8, 1.2337, 0.375
9, 0.8359, 0.5875
10, 0.7093, 0.8313
11, 0.7184, 0.5312
12, 0.7359, 0.5312
13, 0.7231, 0.5312
14, 0.6901, 0.5312
15, 0.6568, 0.6812
16, 0.6346, 0.9062
17, 0.6226, 0.9062
18, 0.6141, 0.9062
19, 0.6048, 0.9062
20, 0.5945, 0.9062
21, 0.5843, 0.9062
22, 0.575, 0.9062
23, 0.5664, 0.9062
24, 0.5581, 0.9062
25, 0.5501, 0.9062
26, 0.5422, 0.9062
27, 0.5346, 0.9062
28, 0.5273, 0.9062
29, 0.5202, 0.9062
30, 0.5133, 0.9062
31, 0.5067, 0.9062
32, 0.5003, 0.9062
33, 0.494, 0.9062
34, 0.488, 0.9062
35, 0.4821, 0.9062
36, 0.4765, 0.9062
37, 0.471, 0.9062
38, 0.4656, 0.9062
39, 0.4605, 0.9062
40, 0.4555, 0.9062
41, 0.4506, 0.9062
42, 0.4457, 0.9062
43, 0.4349, 0.9062
44, 0.4307, 0.9062
45, 0.4317, 0.9062
46, 0.4281, 0.9062
47, 0.4241, 0.9062
48, 0.4201, 0.9062
49, 0.4163, 0.9062
50, 0.4126, 0.9062
51, 0.4091, 0.9062
52, 0.4056, 0.9062
53, 0.4022, 0.9062
54, 0.3989, 0.9062
55, 0.3957, 0.9062
56, 0.3926, 0.9062
57, 0.3896, 0.9062
58, 0.3867, 0.9062
59, 0.3839, 0.9062
60, 0.3811, 0.9062
61, 0.3784, 0.9062
62, 0.3758, 0.9062
63, 0.3732, 0.9062
64, 0.3707, 0.9062
65, 0.3683, 0.9062
66, 0.3659, 0.9062
67, 0.3637, 0.9062
68, 0.3614, 0.9062
69, 0.3592, 0.9062
70, 0.3571, 0.9062
71, 0.355, 0.9062
72, 0.353, 0.9062
73, 0.3511, 0.9062
74, 0.3491, 0.9062
75, 0.3473, 0.9062
76, 0.3454, 0.9062
77, 0.3436, 0.9062
78, 0.3419, 0.9062
79, 0.3402, 0.9062
80, 0.3385, 0.9062
81, 0.3369, 0.9062
82, 0.3353, 0.9062
83, 0.3338, 0.9062
84, 0.3323, 0.9062
85, 0.3308, 0.9062
86, 0.3294, 0.9062
87, 0.328, 0.9062
88, 0.3266, 0.9062
89, 0.3252, 0.9062
90, 0.3239, 0.9062
91, 0.3226, 0.9062
92, 0.3214, 0.9062
93, 0.3201, 0.9062
94, 0.3189, 0.9062
95, 0.3177, 0.9062
96, 0.3166, 0.9062
97, 0.3154, 0.9062
98, 0.3143, 0.9062
99, 0.3132, 0.9062
100, 0.3122, 0.9062
101, 0.5416, 0.7812
