epoch, loss, accuracy
1,2.8841,0.3313
2,2.3932,0.2812
3,1.7024,0.2812
4,1.2959,0.6125
5,1.1774,0.6562
6,1.1658,0.6562
7,1.1399,0.6562
8,1.0785,0.6562
9,1.0016,0.6562
10,0.9335,0.6562
11,0.8808,0.6562
12,0.8348,0.6562
13,0.7871,0.6562
14,0.7379,0.6562
15,0.6919,0.6562
16,0.6523,0.6562
17,0.6213,0.6562
18,0.6017,0.6562
19,0.5932,0.6562
20,0.5896,0.6562
21,0.5843,0.6562
22,0.577,0.6562
23,0.57,0.6562
24,0.5642,0.6562
25,0.5588,0.6562
26,0.5535,0.6562
27,0.5481,0.6562
28,0.5427,0.6562
29,0.5375,0.9375
30,0.5325,0.9375
31,0.5275,0.9375
32,0.5226,0.9375
33,0.5177,0.9375
34,0.5129,0.9375
35,0.5083,0.9375
36,0.5036,0.9375
37,0.4991,0.9375
38,0.4946,0.9375
39,0.4902,0.9375
40,0.4859,0.9375
41,0.4817,0.9375
42,0.4775,0.9375
43,0.4734,0.9375
44,0.4693,0.9375
45,0.4653,0.9375
46,0.4614,0.9375
47,0.4576,0.9375
48,0.4538,0.9375
49,0.45,0.9375
50,0.4464,0.9375
51,0.7907,0.6562
